Card name,Status,Members,Checklists
BIDWHDEV-4623,UAT Developer Test,"['5d831835808145195c95f1a0', '5d83181837b3833746dce248', '526d0007f28467086c00386a']","[<Checklist 5db948a87567a016ffd283f5>, <Checklist 5db948a87567a016ffd28401>, <Checklist 5db948a87567a016ffd28413>, <Checklist 5db948a87567a016ffd2842b>, <Checklist 5db948a87567a016ffd28435>]"
BIDWHDEV-4111,UAT Developer Test,"['5d831835808145195c95f1a0', '5d83181837b3833746dce248']","[<Checklist 5dbfea64a8141b88498e9d5c>, <Checklist 5dbfea64a8141b88498e9d68>, <Checklist 5dbfea64a8141b88498e9d7a>, <Checklist 5dbfea64a8141b88498e9d92>, <Checklist 5dbfea64a8141b88498e9d9c>]"
BIDWHDEV-3464,Test,"['5d83181837b3833746dce248', '5d831835808145195c95f1a0']","[<Checklist 5d9196cbbfd44e0f4d8cf703>, <Checklist 5d9196cbbfd44e0f4d8cf70d>, <Checklist 5d9196cbbfd44e0f4d8cf71f>, <Checklist 5d9196cbbfd44e0f4d8cf737>, <Checklist 5d9196cbbfd44e0f4d8cf741>]"
BIDWHDEV-4202,Test,[],"[<Checklist 5d8344ff734bbb8d1479a5ff>, <Checklist 5d8344ff734bbb8d1479a60b>, <Checklist 5d8344ff734bbb8d1479a613>, <Checklist 5d835bfe64fa6b7c38c9d5a1>]"
BIDWHDEV-4585 HOTFIX,Test,"['5d831835808145195c95f1a0', '526d0007f28467086c00386a', '5d83181837b3833746dce248']","[<Checklist 5da4620682884013f949f9e6>, <Checklist 5da4620682884013f949f9f0>, <Checklist 5da4620682884013f949fa02>, <Checklist 5da4620682884013f949fa1a>, <Checklist 5da4620682884013f949fa24>]"
BIDWHDEV-4068,Test,"['5d83181837b3833746dce248', '5d831835808145195c95f1a0']","[<Checklist 5d83512817f71f23b80a10a7>, <Checklist 5d83512817f71f23b80a10b3>, <Checklist 5d84ac72be93fb21296d01b9>, <Checklist 5d84ad52fd5d2e3ef8e62ca9>]"
BIDWHDEV-3390,Test,"['5d83181837b3833746dce248', '526d0007f28467086c00386a', '5d831835808145195c95f1a0']","[<Checklist 5d8c76581703d02929963bc9>, <Checklist 5d8c76581703d02929963bd3>, <Checklist 5d8daf697d4e213f4f5409e2>, <Checklist 5d8c76581703d02929963bfd>, <Checklist 5d8c76581703d02929963c07>]"
BIDWHDEV-3371,Test,"['5d831835808145195c95f1a0', '526d0007f28467086c00386a', '5d83181837b3833746dce248']","[<Checklist 5d8b579d279af14d793bbc20>, <Checklist 5d8b579d279af14d793bbc2a>, <Checklist 5d8b579d279af14d793bbc3c>, <Checklist 5d8b579d279af14d793bbc54>, <Checklist 5d8b579d279af14d793bbc5e>]"
BIDWHDEV-3384,Release Lock,"['5d83181837b3833746dce248', '5d831835808145195c95f1a0']","[<Checklist 5da427809f1a0852aee59fc7>, <Checklist 5da427809f1a0852aee59fd1>, <Checklist 5da427809f1a0852aee59fe3>, <Checklist 5da427809f1a0852aee59ffb>, <Checklist 5da427809f1a0852aee5a005>]"
BIDWHDEV-4311,PROD INSTALL alatt,"['5d831835808145195c95f1a0', '5d83181837b3833746dce248']","[<Checklist 5d88a4ce373e7a57157be600>, <Checklist 5d88a4ce373e7a57157be60a>, <Checklist 5d88a4ce373e7a57157be61c>, <Checklist 5d88a4ce373e7a57157be632>]"
BIDWHDEV-4204,PROD INSTALL alatt,"['5d83181837b3833746dce248', '5d831835808145195c95f1a0']","[<Checklist 5d89d407e6c24389a2af77e3>, <Checklist 5d89d407e6c24389a2af77ed>, <Checklist 5d89d407e6c24389a2af77ff>, <Checklist 5d89d407e6c24389a2af7815>, <Checklist 5d89d407e6c24389a2af781f>]"
BIDWHDEV-4559,PROD INSTALL alatt,['5d831835808145195c95f1a0'],"[<Checklist 5d9db4b7e96f71313cdde44e>, <Checklist 5d9db4b7e96f71313cdde458>, <Checklist 5d9db4b7e96f71313cdde46a>, <Checklist 5d9db4b7e96f71313cdde482>, <Checklist 5d9db4b7e96f71313cdde48c>]"
BIDWHDEV-4620 HOTFIX,PROD INSTALL alatt,"['5d831835808145195c95f1a0', '5d83181837b3833746dce248']","[<Checklist 5dad9d0a3f3c91724ecfd81d>, <Checklist 5dad9d0a3f3c91724ecfd827>, <Checklist 5dad9d0a3f3c91724ecfd833>, <Checklist 5dad9d0a3f3c91724ecfd843>, <Checklist 5dad9d0a3f3c91724ecfd849>]"
BIDWHDEV-4651 HOTFIX,PROD INSTALL alatt,"['5d831835808145195c95f1a0', '5d83181837b3833746dce248']","[<Checklist 5db2be5237f39340362785c2>, <Checklist 5db2be5237f39340362785ce>, <Checklist 5db2be5237f39340362785e0>, <Checklist 5db2be5237f39340362785f8>]"
BIDWHDEV-3472,PROD INSTALL alatt,"['5d831835808145195c95f1a0', '526d0007f28467086c00386a', '5d83181837b3833746dce248']","[<Checklist 5d88a436ef76f81e25074706>, <Checklist 5d88a436ef76f81e25074710>, <Checklist 5d88a436ef76f81e25074722>, <Checklist 5d88a436ef76f81e25074738>, <Checklist 5d9349ed2e95f503a2cd0ae9>]"
BIDWHDEV-3343,PROD INSTALL alatt,"['5d831835808145195c95f1a0', '5d83181837b3833746dce248']","[<Checklist 5d838843e7652d3219143c36>, <Checklist 5d838843e7652d3219143c3c>, <Checklist 5d838843e7652d3219143c40>, <Checklist 5da0898689cd7b156a36b6bc>, <Checklist 5da089a8ad77c27e7243bcec>, <Checklist 5d838843e7652d3219143c48>]"
BIDWHDEV-3779,PROD INSTALL alatt,"['5d831835808145195c95f1a0', '5d83181837b3833746dce248']","[<Checklist 5d84842fcd515929b0f8f3d5>, <Checklist 5d84842fcd515929b0f8f3db>, <Checklist 5d84842fcd515929b0f8f3df>, <Checklist 5d8dc6225a876e24bfe90561>, <Checklist 5d84842fcd515929b0f8f3e7>]"
BIDWHDEV-3473,PROD INSTALL alatt,"['5d831835808145195c95f1a0', '526d0007f28467086c00386a', '5d83181837b3833746dce248']","[<Checklist 5d943746ca8a1f7a8d613da3>, <Checklist 5d943746ca8a1f7a8d613dad>, <Checklist 5d943746ca8a1f7a8d613dbf>, <Checklist 5d943746ca8a1f7a8d613dd7>, <Checklist 5d943746ca8a1f7a8d613de1>]"
BIDWHDEV-3272,PROD INSTALL alatt,"['5d831835808145195c95f1a0', '5d83181837b3833746dce248']",[]
BIDWHDEV-3766,PROD INSTALL alatt,"['5d831835808145195c95f1a0', '5d83181837b3833746dce248']","[<Checklist 5d8351f75137763a59133ec5>, <Checklist 5d9332182e2dc10a9c6e8010>, <Checklist 5d8351f75137763a59133ed1>, <Checklist 5d835c6850ffd3618b3371df>]"
BIDWHDEV-4212,PROD INSTALL alatt,"['5d83181837b3833746dce248', '5d831835808145195c95f1a0']","[<Checklist 5d8b539deab82c2a51bd2814>, <Checklist 5d970f5929aa828c709e976f>, <Checklist 5d8b539deab82c2a51bd2826>, <Checklist 5d8b539deab82c2a51bd283c>, <Checklist 5d8b539deab82c2a51bd2846>]"
BIDWHDEV-4201,PROD INSTALL alatt,[],"[<Checklist 5d84b519362bc94a05698295>, <Checklist 5d84b519362bc94a0569829f>, <Checklist 5d84b519362bc94a056982a7>, <Checklist 5d84b519362bc94a056982bd>]"
BIDWHDEV-4202,PROD INSTALL alatt,"['5d831835808145195c95f1a0', '526d0007f28467086c00386a', '5d83181837b3833746dce248']","[<Checklist 5d88bb943087c20299b0d387>, <Checklist 5d88bb943087c20299b0d391>, <Checklist 5d88bb943087c20299b0d3a3>, <Checklist 5d88bb943087c20299b0d3b9>, <Checklist 5d96ee0491b3ab30150febb0>]"
